SELECT * FROM state_vectors_data4 v JOIN (SELECT MAX(time) AS recent, count(*) as cnt, icao24 FROM state_vectors_data4, state_vectors_data4.serials s WHERE hour=1480SELECT * FROM state_vectors_data4 v JOIN (SELECT MAX(time) AS recent, count(*) as cnt, icao24 FROM state_vectors_data4, state_vectors_data4.serials s WHERE hour=1480762800 AND s.ITEM=1344390019 GROUP BY icao24) AS m ON v.icao24=m.icao24 AND v.time=m.recent WHERE cnt>30 AND v.hour=1480762800;
+------------+--------+-------------------+----------------------+-------------------+--------------------+--------------------+----------+----------+-------+-------+--------+--------------------+-------------------+-------------------+-------------------+------------+------------+------+--------+
| time       | icao24 | lat               | lon                  | velocity          | heading            | vertrate           | callsign | onground | alert | spi   | squawk | baroaltitude       | geoaltitude       | lastposupdate     | lastcontact       | hour       | recent     | cnt  | icao24 |
| 1480766372 | 44066a | 50.12768244339248 | 5.062321843327703    | 259.7499027269761 | 116.2098117462835  | 0.32512            | NULL     | false    | false | false | 1214   | 12496.8            | NULL              | 1480765528.199    | 1480766358.325    | 1480762800 | 1480766372 | 1150 | 44066a |
| 1480763555 | 3c66ab | 50.02950377383474 | 8.542463972761825    | 63.95058309381243 | 70.25316339457389  | 0                  | DLH87P   | false    | false | false | 1000   | -15.24             | 99.06000000000002 | 1480763554.377    | 1480763554.911    | 1480762800 | 1480763555 | 375  | 3c66ab |
| 1480766399 | 405b6a | 51.70473260394597 | 2.390365600585938    | 218.2898101682891 | 286.427640993077   | -5.20192           | EZY93MQ  | false    | false | false | 7774   | 7139.940000000001  | 7178.04           | 1480766397.714    | 1480766398.964    | 1480762800 | 1480766399 | 1669 | 405b6a |
| 1480766399 | 406a9f | 51.02707167803231 | 8.012771606445312    | 235.1171875       | 285.2215576171875  | 0                  | BAW36    | false    | false | false | 3273   | 12184.38           | 12108.18          | 1480766398.01     | 1480766399        | 1480762800 | 1480766399 | 219  | 406a9f |
| 1480765423 | 471f51 | 51.06845661745233 | 9.002685546875       | 214.99658203125   | 314.7088623046875  | 0                  | WZZ3BK   | false    | false | false | 7673   | 9753.6             | 9669.780000000001 | 1480765421.355    | 1480765423        | 1480762800 | 1480765423 | 62   | 471f51 |
| 1480766399 | 484b02 | 49.16363525390625 | 10.2734140249399     | 220.7498326223865 | 131.9772877116594  | -13.0048           | KLM97N   | false    | false | false | 1000   | 7414.26            | 7414.26           | 1480766398.124    | 1480766398.772    | 1480762800 | 1480766399 | 836  | 484b02 |
| 1480766399 | 3c4aa8 | 50.8852735616393  | 5.284652709960938    | 228.105304960852  | 286.1051420841488  | 0                  | CFG186   | false    | false | false | 7672   | 9753.6             | 9677.4            | 1480766398.438    | 1480766398.744    | 1480762800 | 1480766399 | 1276 | 3c4aa8 |
| 1480763210 | 3c4dc7 | 50.76512145996094 | 10.46098863756334    | 198.606035033399  | 242.0410044795852  | -7.80288           | NULL     | false    | false | false | 1000   | 1668.78            | NULL              | 1480761902.489    | 1480763209.544    | 1480762800 | 1480763210 | 300  | 3c4dc7 |
| 1480766399 | 3c6659 | 48.63838325112552 | 10.88904129831414    | 171.0091094635839 | 148.0311574626723  | -7.80288           | DLH3PJ   | false    | false | false | 1000   | 4008.12            | 4008.12           | 1480766398.417    | 1480766398.81     | 1480762800 | 1480766399 | 81   | 3c6659 |
| 1480763655 | 3c6758 | 50.02820031117584 | 8.536896576752534    | 66.41310651656477 | 69.59979060515747  | 0                  | DLH133   | false    | false | false | 1262   | -15.24             | 91.44000000000001 | 1480763648.334    | 1480763654.264    | 1480762800 | 1480763655 | 92   | 3c6758 |
| 1480766399 | 3c66ae | 44.86066915221133 | 2.784364281631098    | 224.1760195619394 | 235.4711617622032  | 0                  | DLH1330  | false    | false | false | 2501   | 10668              | 10675.62          | 1480766393.201    | 1480766397.143    | 1480762800 | 1480766399 | 391  | 3c66ae |
| 1480766399 | 4ca4f8 | 51.95001634500795 | 0.6949637276785715   | 138.572727519598  | 272.9792485151283  | -0.65024           | RYR899P  | false    | false | false | 2215   | 2438.4             | 2484.12           | 1480766398.582    | 1480766398.838    | 1480762800 | 1480766399 | 977  | 4ca4f8 |
| 1480765300 | 4951d8 | 50.0445442199707  | 8.544219167608963    | 61.35701793160747 | 69.89376520164068  | 0                  | TAP578   | true     | false | false | 1000   | NULL               | NULL              | 1480765297.857    | 1480765299.448    | 1480762800 | 1480765300 | 1393 | 4951d8 |
| 1480763329 | 3c4dc8 | 50.26451110839844 | 6.269868549547697    | 209.724124391751  | 309.6256226276756  | -5.85216           | NULL     | false    | false | false | 1000   | 6339.84            | 6522.72           | 1480763324.961    | 1480763328.914    | 1480762800 | 1480763329 | 526  | 3c4dc8 |
| 1480763931 | 4ba8f6 | 49.884521484375   | 8.174189517372533    | 123.8175977015796 | 334.9255806581843  | -5.52704           | THY9VQ   | false    | false | false | 3250   | 1485.9             | 1539.24           | 1480763930.449    | 1480763930.941    | 1480762800 | 1480763931 | 148  | 4ba8f6 |
| 1480763630 | 3c658c | 50.04079055786133 | 8.512669613486841    | 63.6436052477111  | 69.66077788734779  | 0                  | DLH8A    | true     | false | false | 1000   | -7.62              | NULL              | 1480763627.704    | 1480763628.642    | 1480762800 | 1480763630 | 236  | 3c658c |
| 1480766399 | 896461 | 51.74108990168167 | 1.508255004882812    | 190.7817498742322 | 264.2740336995977  | -8.128             | ETD59V   | false    | false | false | 2202   | 7185.660000000001  | 7261.860000000001 | 1480766397.816    | 1480766398.984    | 1480762800 | 1480766399 | 412  | 896461 |
| 1480764536 | 4b16a3 | 51.38026428222656 | 6.963624696473818    | 135.8609495737842 | 287.405794018616   | -13.65504          | BER905Q  | false    | false | false | 1000   | 792.48             | 2385.06           | 1480764523.254    | 1480764523.983    | 1480762800 | 1480764536 | 404  | 4b16a3 |
| 1480766399 | 4ba910 | 49.55560199284957 | 4.859297468855575    | 207.8264621751847 | 263.0333074776692  | -5.20192           | THY7PV   | false    | false | false | 3216   | 8740.140000000001  | 8778.24           | 1480766398.643    | 1480766398.694    | 1480762800 | 1480766399 | 1495 | 4ba910 |
| 1480766399 | c02de8 | 49.84391784667969 | 6.225995515522204    | 215.1243407749728 | 334.047714545186   | 0                  | CFRJZ    | false    | false | false | 3026   | 11582.4            | 11574.78          | 1480766397.046    | 1480766399        | 1480762800 | 1480766399 | 1225 | c02de8 |
| 1480762866 | 3986e3 | 49.65000993114406 | 5.536367055532095    | 229.5054556354196 | 257.1786562066011  | -0.32512           | NULL     | false    | false | false | 7175   | 9448.800000000001  | 9441.18           | 1480762862.108    | 1480762865.546    | 1480762800 | 1480762866 | 54   | 3986e3 |
| 1480765298 | 44cdc4 | 50.90396118164062 | 4.544925174197635    | 67.86177421491082 | 250.0540021383991  | -3.57632           | BEL714   | false    | false | false | 7773   | 30.48              | 152.4             | 1480765294.125    | 1480765297.208    | 1480762800 | 1480765298 | 1159 | 44cdc4 |
| 1480766399 | 4840d6 | 48.84707693326271 | 6.861251027960526    | 211.3432126294597 | 159.1827792468901  | -4.8768            | KLM49L   | false    | false | false | 0176   | 9776.460000000001  | 9776.459999999999 | 1480766398.972    | 1480766398.99     | 1480762800 | 1480766399 | 1380 | 4840d6 |
| 1480763324 | 3c6624 | 50.03860473632812 | 8.503761291503906    | 64.60933306699681 | 69.97791676335524  | -0.97536           | DLH2K    | true     | false | false | 7775   | NULL               | NULL              | 1480763321.943    | 1480763323.88     | 1480762800 | 1480763324 | 161  | 3c6624 |
| 1480766184 | 4b1621 | 49.4754638671875  | 9.562514455694901    | 213.0127428412161 | 14.97598451475669  | 0                  | SWR125B  | false    | false | false | 3054   | 11590.02           | 11468.1           | 1480766183.515    | 1480766183.92     | 1480762800 | 1480766184 | 192  | 4b1621 |
| 1480766399 | 4ca52a | 46.40648276118909 | 6.004714965820312    | 225.8649377338449 | 230.545317308862   | 0                  | IBK5071  | false    | false | false | 0744   | 11277.6            | 11277.6           | 1480766398.547    | 1480766398.585    | 1480762800 | 1480766399 | 845  | 4ca52a |
| 1480764838 | a213dd | NULL              | NULL                 | NULL              | NULL               | NULL               | NULL     | false    | false | false | 1250   | 4267.2             | NULL              | NULL              | 1480764829.587    | 1480762800 | 1480764838 | 662  | a213dd |
| 1480766399 | 40073c | 51.28701937400688 | 6.432647705078125    | 226.865478515625  | 283.90869140625    | 0                  | BAW156   | false    | false | false | 3251   | 11582.4            | 11445.24          | 1480766398.034    | 1480766399        | 1480762800 | 1480766399 | 423  | 40073c |
| 1480766399 | 40083b | 51.35733032226562 | 3.164582123627534    | 213.2734927668584 | 296.8122806222428  | 0.32512            | BAW37DA  | false    | false | false | 2525   | 11582.4            | 11475.72          | 1480766395.099    | 1480766398.936    | 1480762800 | 1480766399 | 1352 | 40083b |
| 1480766399 | 407020 | 49.77835445080773 | 5.886667612436655    | 244.0807735966655 | 122.0821871560661  | 0.32512            | EZY34ZD  | false    | false | false | 2703   | 10668              | 10637.52          | 1480766398.479598 | 1480766398.95     | 1480762800 | 1480766399 | 929  | 407020 |
| 1480764662 | 4a0831 | 50.75358581542969 | 5.123488967483108    | 215.6078932066187 | 104.3678125646737  | 0                  | NULL     | false    | false | false | 7771   | 10668              | NULL              | 1480763375.192    | 1480764661.194    | 1480762800 | 1480764662 | 933  | 4a0831 |
| 1480764487 | 4cabbe | 48.63358837063029 | 6.940251400596217    | 229.8298361758654 | 149.014248927927   | 0.32512            | RYR17RN  | false    | false | false | 0115   | 10668              | 10584.18          | 1480764486.29     | 1480764486.859    | 1480762800 | 1480764487 | 1234 | 4cabbe |
| 1480764601 | 485086 | NULL              | NULL                 | NULL              | NULL               | NULL               | NULL     | false    | false | false | 7176   | 7124.700000000001  | NULL              | NULL              | 1480764600.574    | 1480762800 | 1480764601 | 90   | 485086 |
| 1480766399 | 78070e | 50.94825873940677 | 10.18081665039062    | 229.2392578125    | 61.8804931640625   | -38.1              | CSN348   | false    | false | false | 0642   | 10668              | 10546.08          | 1480766397.512    | 1480766399        | 1480762800 | 1480766399 | 1537 | 78070e |
| 1480766399 | 02a1a7 | 49.38061213089248 | 8.060929147820723    | 240.8944111805452 | 171.4026817721857  | 0.32512            | LBT215   | false    | false | false | 2541   | 10965.18           | 10866.12          | 1480766398.468    | 1480766398.895    | 1480762800 | 1480766399 | 1224 | 02a1a7 |
| 1480763823 | 40612c | 50.78565359115601 | 5.713491439819336    | 218.9731354335554 | 288.7754843644236  | 0                  | EZY97NZ  | false    | false | false | 7677   | 11590.02           | 11468.1           | 1480763816        | 1480763822.985    | 1480762800 | 1480763823 | 902  | 40612c |
| 1480766399 | 4692d1 | 49.86552429199219 | 9.367507131476151    | 250.0380859375    | 138.504638671875   | 0                  | AEE617   | false    | false | false | 3171   | 11277.6            | 11155.68          | 1480766398.234    | 1480766398.991    | 1480762800 | 1480766399 | 836  | 4692d1 |
| 1480764057 | 3c6592 | 50.02711486816406 | 8.53232935855263     | 61.84036295992448 | 70.05761541830303  | -3.2512            | DLH8V    | false    | false | false | 1000   | 7.62               | 7.62              | 1480764055.594    | 1480764056.105    | 1480762800 | 1480764057 | 178  | 3c6592 |
| 1480765351 | ae0806 | 49.99859308792373 | 10.95789728937922    | 227.6291171959153 | 254.8016659954097  | -10.72896          | RCH109   | false    | false | false | 3214   | 213.36             | NULL              | 1480763567.769    | 1480765348.688    | 1480762800 | 1480765351 | 921  | ae0806 |
| 1480764058 | 3c0ca0 | 51.23313903808594 | 6.293978304476352    | 231.72607421875   | 233.4869384765625  | 0                  | TUI7YB   | false    | false | false | 1135   | 10363.2            | 10256.52          | 1480764057.673    | 1480764057.9      | 1480762800 | 1480764058 | 257  | 3c0ca0 |
| 1480764034 | 3c6613 | 49.8724365234375  | 8.183224326685854    | 145.678514811851  | 300.0962307750871  | -8.128             | DLH8NC   | false    | false | false | 1000   | 1440.18            | 1432.56           | 1480764033.888    | 1480764033.888    | 1480762800 | 1480764034 | 69   | 3c6613 |
| 1480766399 | 4d2026 | 45.40255737304688 | 9.067121233258929    | 242.8573469577595 | 157.4548239840881  | 0                  | AMC395   | false    | false | false | 0175   | 11277.6            | 11209.02          | 1480766398.994    | 1480766398.994    | 1480762800 | 1480766399 | 1383 | 4d2026 |
